Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Views,Likes,Stream,Comments
5,0.158340421,0,-7.851,,0.284890312,,0.000799179,0.693,93.744,197160,23502353,131987,80883600,4653
4,0.022425768,,-12.207,0.0339,0.125751501,8.30E-06,0.003511808,0.563,67.409,274040,4925805,69344,170421395,297
0,0.108531333,4,-10.266,,0.021024576,0.0139,0.002515456,0.182,143.532,260387,11013537,,106432184,
2,0.400315553,0,-7.36,,0.025153757,,0.028652616,,176.717,226760,,6132,,298
3,0.363994344,7,-7.139,0.0445,0.005268024,0,,0.955,,,5316213,25987,,1292
4,,,-11.165,0.0285,0.042875,3.52E-05,,0.597,75.798,272160,7383344,64580,84802486,607
1,0.043243551,7,-8.296,0.0286,0.055742968,0.00108,0.00051585,0.235,140.804,249627,4731304,33336,,1770
8,0.024389,4,-17.117,0.139,2.17E-05,0,0.186169411,0.506,92.409,,351401822,2549466,518080621,42859
2,0.128787625,2,-8.926,0.245,6.07E-05,0,0.00078633,0.495,99.935,320267,155585471,1046356,327451076,22035
4,0.075151448,10,-13.364,0.499,0.009129329,0,,0.563,130.47,226987,212066884,1317003,270271722,30299
4,0.237176659,3,,0.0976,0.001643032,0,0.113379904,0.668,80.02,326533,118440055,731399,164734842,
7,,1,-7.9,,1.64E-06,0,0.002628072,0.63,88.926,221467,45995920,353016,90239854,5942
6,0.128787625,1,-11.709,0.138,,0,0.012812904,0.399,89.953,260067,70572748,473024,126371223,
2,0.047832147,10,-13.888,0.166,0.344472101,3.18E-06,0.002744,0.549,136.422,350533,25880121,,69682284,4102
1,,7,-10.714,0.504,0.002048383,,0.001404928,,173.273,,4494,174,62682051,
9,0.420189749,2,-6.129,0.37,0.000994012,3.74E-06,0.000586376,0.65,94.899,333907,3207135,,52139842,1223
5,0.270840023,1,-9.465,0.0903,0.006859,0.00877,6.99E-05,0.931,,280760,6835989,60342,,1927
9,0.491169069,7,-2.801,0.247,,2.41E-05,3.34E-05,,125.071,182413,135227988,1114973,85119241,20713
8,0.510082399,1,-4.1,0.156,,0.128,,0.0815,,213733,1144903863,10125701,486837929,400601
9,0.433798093,8,,0.23,2.71E-07,0,0.024389,0.626,82.038,274387,,637212,151540966,15449
8,0.382657176,2,-6.726,0.323,0.047437928,1.88E-06,0.001771561,0.57,150.061,235897,33429589,432912,93984506,5210
6,,2,,0.032,2.86E-07,1.07E-05,0.001124864,0.667,120.021,159820,,176658,,8849
8,,10,,0.227,3.53E-07,0.00091,0.049836032,0.211,127.984,133125,2526998,22407,58705100,303
9,,10,-2.018,0.274,0.012649337,0,0.000128788,0.642,99.976,250747,34373643,,49656144,6218
6,0.545338513,,,0.188,,0,,,,283040,1118781,17687,79133174,
9,0.907039232,1,-3.278,0.157,2.92E-06,0.0025,0.00096443,0.798,103.005,226107,22665050,159374,57672736,3175
9,0.697864103,1,-3.083,0.285,4.04E-07,,0.052734375,0.814,149.956,281080,148825368,,11783832,11749
0,0.187149248,1,-7.818,,0.263374721,0,0.008,0.285,77.986,237467,129107,973,169769959,107
4,,,-6.457,0.0284,,0,0.023393656,0.685,143.924,284467,344790169,1213946,185457245,34345
4,,7,-6.143,0.0279,0.000887504,,0.002146689,0.261,133.906,281027,382555979,1352278,141498115,42242
6,0.733870808,6,-4.269,0.0407,0.001404928,0,,,,225987,,677360,181228175,
6,0.868250664,0,,0.0607,6.13E-06,0,0.015438249,0.796,124.961,205920,154804639,738986,134391079,25018
3,0.264609288,10,-6.873,0.0272,0.006751269,0,0.010793861,0.492,140.264,288947,172409230,,73913009,19287
4,,1,-7.939,0.0309,6.75E-06,1.78E-05,0.007077888,0.491,139.956,285067,221552390,714967,126878363,22191
0,,0,-14.14,0.0314,,2.94E-06,0.000697864,,103.821,217227,25942458,,53928512,0
2,,,-7.441,,0.000416833,0,,0.654,149.855,263667,,236820,70993793,5001
0,0.053157376,1,,0.0313,0.094196375,0,0.001442897,0.255,97.311,173560,,,32610775,5034
4,0.351895816,0,-9.665,0.0379,0.047437928,0,0.004096,0.819,,148160,154325789,750611,166829226,18063
5,0.451217663,9,-10.445,0.0372,,6.92E-06,,0.73,132.017,306773,5590,100,,7
3,0.547343432,4,-6.539,0.0415,0.003442951,0,0.042144192,0.728,163.045,,74965456,333303,108939189,6199
6,,10,-8.066,0.0413,0.038614472,,0.005268024,0.511,,242733,,138429,102020883,
6,0.452984832,2,-6.702,0.0363,0.010648,,,0.878,125.203,230267,75283307,271609,203334276,7811
5,0.258474853,7,-10.92,,0.000121287,0.000138,0.019034163,0.793,147.502,171067,16483688,73518,62396534,
6,0.433798093,7,-7.543,0.0323,0.120553784,7.63E-05,,0.69,120.967,279067,3425668,34029,53410881,869
7,0.320013504,9,-10.803,0.0351,0.017373979,1.53E-06,,0.564,,246080,84857600,413507,,12454
6,0.204336469,0,-10.01,0.0247,0.003511808,0,,0.696,93.865,168640,128454,1732,,6
3,0.027270901,2,-10.522,0.0294,,,,0.25,125.584,,249882562,1099163,,43811
6,0.311665752,5,-3.525,0.102,0.020346417,0,0.003307949,0.734,138.009,271333,341811113,1700270,645113663,43913
9,0.191102976,10,,0.153,0.002685619,0,0.000445944,0.461,127.641,256027,104843215,968294,,24208
2,0.756058031,1,-2.027,0.41,0.000174677,,0.465484375,0.619,161.109,254027,,,386401916,
8,,1,-4.639,,,0.00157,0.000154854,0.683,88.997,,49770605,221038,244936709,
9,0.582182875,,-4.386,0.275,2.22E-08,,,0.637,103.376,207907,,467969,198323379,
8,0.726572699,1,-5.958,0.0637,3.84E-07,0.219,0.000938314,0.545,119.011,242013,127208450,614864,104899869,17410
6,0.512,9,-1.866,0.202,0.000119823,0,0.000510082,0.587,99.675,209360,16274154,171898,88298034,
9,0.072511713,7,-6.799,0.361,8.75E-05,0,0.00057801,0.904,,,225592008,1048760,136912173,27610
3,0.188132517,5,,0.0436,0.015625,0,0.000377933,,,276093,1301203,6800,,341
5,0.392223168,9,-7.067,,0.120553784,1.79E-05,0.001520875,0.957,,176533,220585577,595958,91929959,11981
5,0.175616,7,,0.0277,0.023149125,0,0.032768,0.605,,190653,161768,1605,41631060,62
2,0.120553784,6,-12.009,0.0387,0.074618461,0,0.001225043,0.658,,186787,2691664,,54248049,315
1,0.129554216,7,-13.023,0.0284,0.007301384,1.96E-06,,0.696,77.422,215747,4843831,24069,52195157,341
4,0.099897344,,-13.795,0.034,0.000849278,0,0.000801765,0.645,80.06,185693,43155236,79118,,
5,0.377933067,2,-5.879,,0.000206425,0,,,,216613,,2010,25250693,58
0,0.187149248,,-7.818,0.0377,0.263374721,0,0.008,0.285,77.986,237467,,6786,,109
6,0.067917312,8,-13.045,0.0328,0.009129329,4.51E-05,0.003307949,,140.482,,29211773,126949,143415947,3600
1,,6,-12.048,0.0331,0.099252847,,0.000430369,0.383,149.119,201040,13250122,61555,80996175,
2,0.135796744,6,-11.253,,0.080621568,,0.003723875,0.372,141.233,227600,,32411,149593093,398
5,0.133432831,6,,0.0369,0.268336125,0,0.008,,102.851,256707,49519406,140698,49665655,
4,,,-9.23,0.0261,0.083453453,8.07E-06,0.051478848,0.609,109.037,,352435270,641970,,15934
2,,8,-13.024,,0.141420761,7.07E-05,0.001124864,0.28,131.047,224907,69276219,166412,31587806,4271
5,0.012812904,,-10.073,0.0352,,0,,0.397,92.248,229200,36360445,145375,51498010,3212
3,0.022665187,,-12.957,0.033,0.506261573,0,0.001157625,0.217,,239773,31354099,135455,28396528,3942
0,0.084027672,,-6.487,,0.049836032,0,0.006229504,0.153,,253600,7188263,67769,55087974,2051
3,0.105154048,8,-8.749,0.0502,0.231475544,0,0.128787625,0.898,67.196,126267,,18430,765618290,312
1,0.071991296,5,-8.249,0.026,0.408518488,,0.015438249,0.516,98.78,171227,1121558,28314,17735481,434
6,0.061162984,,-9.601,,,0,0.005359375,0.826,122.933,130200,807891,6405,,229
2,0.017576,,-10.414,0.0268,0.203297472,0,,0.492,92.032,,1451541,13074,14842588,565
3,0.011089567,10,-12.362,0.0299,0.653972032,0.000972,,0.303,101.711,161547,14209138,134413,30270643,5097
7,0.066923416,,-10.209,,0.087528384,0,0.028094464,0.895,121.091,152160,227017,1498,6961830,
5,0.049027896,,-10.582,0.0325,0.332812557,1.85E-06,0.000483737,0.621,135.682,133133,4465,35,,3
5,0.335702375,0,-5.763,,0.041781923,0,0.001191016,0.707,90.119,227387,195333616,1083263,252064122,
6,0.506261573,4,-3.006,0.0582,0.067917312,,0.004096,0.849,,209120,56394278,321748,98421794,8543
7,,4,-8.069,,0.008,,0.004330747,0.559,103.836,177733,64276353,,78362701,8023
6,0.331373888,9,-4.67,0.115,0.341532099,0,0.005545233,0.688,90.193,194160,,1083263,59861732,
5,,7,-7.321,0.152,,0,0.000594823,0.736,179.986,200720,74591759,469204,66990010,
7,0.136590875,2,-6.553,0.0289,0.013997521,3.74E-06,,0.695,89.488,262227,70532217,365562,,9909
3,0.195112,4,-5.757,0.223,5.93E-07,5.37E-06,,,157.596,,64276353,407558,33524355,
6,0.298077632,,,,0.331373888,0.0199,0.001259712,0.68,87.984,,4006333,123760,,5658
6,0.172808693,,-9.498,0.472,0.001481544,0,0.002571353,0.797,84.926,217881,6142475,,22764946,3481
8,0.203297472,1,-9.994,0.225,0.088121125,0.000244,0.057512456,0.68,100.019,186600,88080,1976,4780508,38
0,0.145531576,2,-11.656,0.0411,0.660776311,2.34E-06,,0.649,201.739,151000,3033061,21556,661839225,1075
1,0.064964808,0,-13.792,0.0353,0.561515625,0,0.006751269,,148.956,157000,1816664,9106,87187126,247
0,0.009528128,6,-15.513,0.031,0.636056,7.73E-05,0.001685159,0.195,95.555,,146344,,80939450,7
3,,5,-9.155,0.0537,0.379503424,0,0.000644973,0.805,109.575,,477344,2940,56794506,102
0,0.006751269,8,-17.741,0.0348,0.627222016,4.44E-06,,,133.591,152000,,31,18549494,3
5,0.074618461,0,-10.137,0.0349,0.036594368,4.69E-06,0.251239591,0.556,124.447,,1995843,12069,58728510,429
0,0.105823817,,-10.187,0.0324,0.134217728,,0.064,,84.897,189067,1344487,17869,24578157,
0,0.013651919,7,-15.452,0.0274,,1.27E-06,0.000180362,0.472,90.387,154867,3926830,17687,18535879,1199
2,0.030959144,0,-12.086,0.0253,0.418508992,0,0.000799179,0.282,96.682,,59926,512,6124793,48
6,0.120553784,,,0.027,0.175616,,0.011239424,0.206,119.998,214773,189325577,522262,70458121,13474
5,0.270840023,7,-7.669,0.0255,0.000360944,0,0.010077696,0.677,136.005,253200,210264342,582179,72398352,14116
5,0.163667323,,-8.637,0.0365,,0,0.002248091,0.48,137.989,,136183874,,60550655,23163
1,0.016974593,4,,0.0316,0.445943744,0,0.001906624,0.316,141.66,202480,165364,1889,,50
5,0.302111711,3,-7.846,0.0314,,0,0.001157625,0.597,,343747,24744833,106791,35048525,832
5,0.161878625,8,,0.0259,,0,0.001643032,0.396,,201947,,,40823895,9021
4,0.170953875,6,-5.282,0.0254,0.165469149,0,0.002460375,0.376,104.816,,127177142,,27042215,10337
4,0.046656,7,,0.029,,1.82E-05,0.060698457,0.0825,109.043,,,912612,34320308,35352
3,0.796597983,4,-3.503,,0.239483061,6.68E-05,0.290117528,0.523,159.903,162524,19214780,128672,30771216,3058
2,0.421875,,-6.86,0.0942,0.025412184,0,0.786330467,0.57,165.899,217667,19214780,128672,18240791,3058
4,0.286191179,6,-6.995,0.406,2.57E-06,0,0.072511713,0.393,,136093,48137242,318071,145045678,8102
9,0.094818816,6,-10.195,0.266,0.054872,0.00359,0.004096,0.224,101.889,189760,26157983,184094,,6506
7,0.413493625,4,-6.059,0.0536,0.003442951,6.26E-06,,,95.021,309947,2868613,64050,67169283,64
8,0.586376253,10,-4.965,0.39,5.62E-05,0,0.031255875,0.807,,244600,25081589,191630,45426822,2717
4,,7,-8.244,0.411,0.006967871,0,0.001191016,0.711,173.163,,2636800,46371,45081499,2064
4,0.158340421,4,-8.026,0.418,,0,,0.851,95.752,253787,14214317,126072,28648716,1199
7,0.726572699,2,-3.643,0.3,0.013312053,,0.000985075,,109.129,232253,30942590,180145,17658398,
8,0.594823321,2,-5.744,0.357,6.16E-05,1.40E-06,0.028934443,0.659,91.577,240133,25081589,191630,20117129,2717
3,0.665338617,6,,0.675,,0,0.026730899,0.728,186.039,,25081589,191630,13750019,2717
0,0.476379541,4,-5.469,0.0552,0.278445077,0.000118,0.019683,0.528,79.27,304267,16398829,71128,16921719,2636
1,0.116930169,5,-7.11,0.0438,0.452984832,0,0.023149125,0.318,136.254,259103,6907078,43471,24454615,4679
0,0.307546875,1,,0.0472,0.273359449,0,0.000893056,0.496,177.053,259360,52999310,235985,41143460,12946
1,0.162771336,10,-7.022,0.045,0.101194696,1.54E-05,0.007189057,,125.961,,46984474,238248,35025615,10376
0,0.286191179,7,-6.091,0.0347,2.34E-05,1.46E-05,,0.599,113.021,187653,11818107,85156,,4629
5,0.481890304,8,-5.193,,0.001643032,0.000923,0.002352637,0.723,98.005,,26260160,175893,25500353,13519
1,0.219256227,0,-8.611,,0.043986977,0,0.017576,0.262,97.852,296080,,90321,13598493,4246
5,,2,,0.182,,,0.027543608,0.52,119.75,271618,42575806,191919,29458805,
6,0.496793088,5,-6.217,0.0591,,2.80E-06,0.001860867,0.866,95.992,235773,18340858,93698,36280803,2160
5,0.151419437,7,-9.426,0.0309,0.150568768,7.85E-06,0.003442951,0.695,127.49,222693,11526797,55497,14949320,
3,0.128024064,9,,0.05,0.044738875,0,,0.428,90.899,225381,32511618,443923,14532274,
3,0.076225024,,-12.006,0.0359,,0.00381,0.004826809,0.561,119.823,396467,93276932,560294,40547657,23584
5,0.251239591,4,,0.0353,,,,,119.973,332711,8853708,92408,26570846,1534
4,0.350402625,,-5.525,0.0364,0.124251499,0.000124,0.000676836,,75.031,,64909343,278541,27224724,7261
2,0.048228544,1,-9.277,0.03,,,0.000738763,0.365,149.819,208440,2645343,21646,17327882,452
1,0.223648543,9,-4.606,0.0611,0.494913671,,0.000700227,0.484,,344360,7655751,,26019673,
6,0.791453125,4,-5.675,0.185,0.315821241,0.000393,0.000418509,0.956,79.932,238987,15245425,82020,23821179,1223
7,0.178453547,,,0.128,0.006967871,0.000141,0.000437245,0.563,,,35839689,227784,14089626,4889
4,0.152273304,9,-8.007,0.0428,,0,0.674526133,0.364,91.082,,7398692,120441,2832857,1409
7,0.269586136,2,-9.598,0.0389,0.001367631,0.0426,,0.752,129.996,,21266116,,10528551,
4,0.192100033,0,-4.813,0.0294,,0,0.001685159,0.902,144.007,207000,,,174718565,2803
4,0.103161709,8,-6.143,0.0293,0.320013504,0.000416,0.004574296,0.696,,192973,120158160,434907,,7669
1,0.090518849,10,-4.548,,0.043614208,,,0.515,106.446,235213,39864879,263906,20459466,4923
4,0.064964808,10,,0.0313,0.302111711,0,0.001061208,0.964,134.045,176453,25070971,78435,35892853,863
1,0.068921,0,-3.672,,0.205379,0,0.000681472,0.848,167.658,210280,,,122246047,15050
6,0.575930368,4,-3.306,0.0315,0.008489664,0,0.022188041,0.965,122.603,137173,99663132,,52780457,5305
8,0.219256227,9,-4.781,0.034,0.082312875,0,0.001030301,0.743,106.984,224072,7367391,409013,79523556,
9,0.543338496,7,-5.357,0.239,6.16E-05,0.000549,0.017576,0.637,143.913,200208,64110280,640934,9644119,21295
8,0.814780504,2,-7.756,0.173,0.135796744,,0.000835897,0.63,90.048,198198,28210597,384127,4371178,13129
9,0.281011375,5,-8.184,0.273,0.060236288,6.81E-05,0.000208528,0.819,82.428,178364,15864354,231226,3374324,9545
9,0.373248,,-8.136,0.164,0.013144256,0.00974,0.000137388,0.917,109.986,212182,337091,2662,1527728,15
6,0.496793088,9,-2.612,0.133,0.006331625,2.49E-05,0.021952,0.849,,327640,,375106,14744109,8912
9,0.444194947,5,-5.948,0.0974,0.017779581,0.0672,0.099897344,0.478,128.032,226313,,3635600,26290949,38349
8,0.196122941,4,-5.655,0.0438,0.120553784,0,0.047437928,0.681,106.965,221000,7367391,409013,40049493,11891
9,0.513922401,5,-4.978,,0.148877,1.03E-06,0.005268024,0.908,139.894,227160,14882735,132051,35799792,4
3,0.693154125,,-3.4,0.035,0.161878625,0,0.002299968,0.831,,586076,,12053453,58470533,
6,0.079507,9,-10.31,0.0407,0.216,2.49E-06,0.002299968,0.241,115.01,369333,1016043,15440,,427
8,0.077308776,3,-11.54,0.0742,0.073034632,2.23E-05,0.001331,0.556,114.945,274853,64425903,431122,26277076,11445
