Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Views,Likes,Stream,Album_type,Licensed,official_video,Album,Comments,Title,Channel,Composer,Artist
9,3135,10,6922,4486,1263,301,5598,4051,4811,15857,12192,11981,18785,0,1,1,9896,4548,2163,677,8,1127
2,4935,10,10373,4491,7269,725,2261,4074,1134,10073,5319,7141,4807,0,0,1,2670,1664,3776,1246,2,1965
3,5152,10,11938,4576,1236,1177,5403,4360,11595,2344,9396,9783,9925,0,1,1,3045,3452,2161,677,2,1127
5,5152,10,11938,4645,7269,1478,3347,2353,11808,15857,14565,13781,8623,0,1,1,8665,6424,15345,5845,6,8042
2,2211,5,1737,4738,6574,3311,2046,3965,15220,6526,3099,4291,1750,0,1,1,6022,600,3217,1037,3,1657
5,2994,4,11938,4096,7269,7351,937,2941,2088,11321,17858,18482,6757,0,1,1,8976,7385,2164,678,4,1128
6,4328,6,9538,4544,7269,0,694,3136,2613,10189,11731,10627,18785,0,1,1,3509,4023,2162,678,6,1127
8,2382,10,4396,387,7269,0,828,4321,3760,9141,10642,18482,17305,0,1,1,5573,9427,10610,3518,10,5513
3,1084,2,11938,1431,6894,7351,2680,1813,16020,5031,19253,17337,18458,2,1,1,3347,9427,11408,3828,0,5925
1,2271,7,3168,357,7269,5496,5222,1905,1071,9363,8560,9081,13297,0,1,1,5572,3448,15345,3518,3,8042
8,3658,10,3141,1298,7269,2802,5598,4527,8012,9932,1718,1549,12053,0,0,0,6792,16,10605,5845,4,5514
6,1548,8,6984,932,5907,0,2261,4923,16051,1498,5660,18482,8294,0,1,1,5574,2355,10609,3518,9,5513
5,4286,9,2821,527,3548,386,2093,4471,14141,6472,2732,3193,5965,0,1,1,6358,653,10607,5845,3,5513
3,3702,4,5481,817,2711,0,183,4018,14218,8994,3268,2730,9533,0,0,0,9362,139,10611,5845,9,5516
4,1709,4,2056,205,5739,3073,2093,4621,3683,2014,19253,18482,3992,0,1,1,5572,64,4366,5845,0,2273
6,1353,7,1582,522,4315,4275,1472,4510,8928,8618,1070,1027,6338,0,1,1,7179,1,993,3517,5,563
6,440,9,704,4876,6667,1774,3303,4923,2862,15857,3335,3416,5539,0,1,1,10459,109,15345,3517,3,8042
6,5152,10,11938,4876,3518,2367,2390,3863,9173,15857,11636,11373,17521,0,0,0,1231,9427,4187,4477,10,2196
5,1969,0,1729,323,5245,2854,1974,2928,8842,12480,2897,1591,14433,0,0,0,6074,95,4188,3432,3,2196
6,4544,10,6592,262,7269,719,4803,4781,10445,2550,5690,4092,16118,0,0,0,1984,675,3910,5845,8,2037
5,4069,10,11938,289,3378,312,5532,3273,16051,10530,13394,11078,18785,0,1,1,2864,3198,4189,5845,9,2196
3,4907,2,10006,4876,3605,697,3022,4923,11621,8521,11169,9168,18785,0,1,1,6735,2636,15345,1384,2,8042
2,3357,9,8468,4876,3238,7351,3929,2120,1748,12461,2503,2365,11035,0,0,0,1231,335,8162,2657,3,4218
4,3816,7,2608,264,1577,0,4847,4923,11646,13559,3496,3531,7756,0,0,0,10459,715,8161,2657,6,4218
4,5152,0,5099,289,4114,7351,5576,4923,8821,13692,13462,9530,13998,0,1,1,2864,3281,5627,5310,0,2969
7,4544,9,8729,391,4076,739,4293,3134,8507,13751,9206,6948,8785,0,1,1,684,1626,4186,1384,4,2196
3,1313,0,2471,245,4664,0,2341,818,1454,3543,2244,18482,7533,0,0,0,3728,332,8160,2657,5,4218
4,4582,9,11938,1692,775,4888,4879,2805,15049,5710,11953,13500,17342,0,0,0,10459,5794,12675,5845,2,6569
7,3844,2,8504,626,757,1809,1773,4923,7197,8937,3278,2666,15780,0,0,0,4958,176,5624,5845,3,2967
2,4400,10,8168,1610,1801,1723,1609,3134,8332,4623,6867,6118,14404,0,0,1,10459,1393,5623,4790,0,2967
4,5019,10,11125,4876,787,1007,1571,2702,5395,1090,5608,5143,11231,0,0,1,4853,9427,5626,5845,2,2968
3,4491,1,8377,2518,7269,2993,438,3213,16051,12576,13362,10189,12112,0,0,0,10459,4372,5625,679,3,2967
5,4110,10,9150,3254,7269,0,943,2230,8518,15857,19253,18482,10660,2,0,0,10459,71,1227,3014,5,681
5,5152,0,9007,1126,2076,462,410,4527,13155,9906,6520,5669,9492,0,1,1,9714,646,15345,5845,8,8042
8,5152,10,3031,1078,5326,5683,2078,1382,10166,15857,2416,2021,9902,0,0,0,4958,9427,15345,5845,10,8042
6,5152,10,8190,4876,1315,1613,1426,2297,7002,12018,6330,18482,18785,0,1,1,172,168,8041,1887,8,4176
5,5152,5,9784,4876,3282,4117,522,4923,852,6398,6714,18482,7885,0,0,0,4853,549,5470,2873,3,2859
1,510,6,11938,1171,7199,7351,2487,890,8597,15857,10132,11447,15418,0,1,1,1648,4049,15345,382,10,8042
0,1265,5,656,968,7096,6873,1550,1083,579,10952,10469,11165,14301,1,1,1,1569,9427,12672,4181,9,6566
2,662,4,423,4876,7234,4666,2341,2038,14777,10266,8383,7850,11870,0,1,1,1648,9427,12673,382,3,6567
2,5152,10,444,377,7216,6114,2618,1553,2891,14201,10564,10110,13374,0,1,1,1648,9427,15345,382,3,8042
1,5152,4,497,326,7136,7107,1924,1331,12127,1168,4127,4083,9953,1,1,1,1569,26,4869,4268,9,2541
2,619,3,525,879,7235,5291,2182,4923,16051,13273,7960,6451,13509,0,1,1,1648,956,12674,5845,8,6568
2,670,0,663,1375,7047,6945,2390,1826,12401,3091,4149,3425,12620,0,0,0,7757,314,12671,357,2,6566
3,2054,7,3710,326,5733,0,5598,2380,9489,15155,19253,1576,11062,0,0,0,4297,69,4,154,10,4
3,5152,4,611,514,7250,7260,1563,1885,16051,1103,3983,4674,7303,0,0,0,8613,508,4868,5375,3,2540
0,1989,10,3162,333,7269,3413,5312,1040,7309,15857,17476,15992,17154,0,1,0,7025,8148,15345,4407,0,8042
9,1076,7,2103,2775,1445,3049,345,4179,7066,8993,14154,13634,16792,0,1,1,6624,9427,10928,3624,8,5667
7,5130,9,9640,4876,1369,1065,4872,4562,9855,15053,14920,14404,15431,0,1,1,10459,6508,15345,5845,6,8042
7,3544,2,1898,1144,3751,2068,5598,4757,8630,7897,13873,12449,15057,0,1,1,790,6159,10930,3624,0,5667
0,4956,10,11938,3313,1588,3389,2151,1920,15895,13088,11500,10750,12416,0,1,1,10459,4244,10929,3624,0,5667
2,3709,6,11938,1083,1568,409,4172,4923,16051,12252,7453,7580,2850,0,1,1,8803,2306,10933,5590,0,5666
7,5152,2,3140,399,2856,2012,3394,3595,11387,4065,7510,6620,11066,0,1,1,10459,2238,10932,3624,0,5666
8,2352,1,4476,1218,2008,5440,825,4113,7552,14984,19253,10497,10897,0,1,1,6966,4642,15345,3624,10,8042
7,4897,6,11347,3187,827,1255,3316,3716,10177,4812,1531,1410,17495,2,0,1,7201,55,1892,3401,4,1027
7,4229,5,6637,4876,4226,6990,2725,4923,9384,7181,14681,13864,15799,0,1,1,8465,5584,1888,613,5,1027
6,3901,6,1906,1338,5198,2955,4861,4893,16051,8420,18345,17747,16258,0,1,1,3153,8807,1893,5845,10,1027
7,4615,7,6505,699,3243,2723,4872,4923,7650,11977,16869,18482,13343,0,1,1,6151,9427,1894,5845,9,1027
5,4687,0,7273,3106,2884,5600,2663,4450,16051,10513,19253,7629,14015,0,1,0,8465,1662,1895,900,8,1027
5,4804,10,7171,691,4280,4258,3564,4882,9820,15037,1531,1410,11988,0,0,0,6151,55,1892,3401,2,1027
7,4148,2,7829,3092,1905,7351,4217,4738,10308,12879,17806,16159,11705,0,1,1,10459,7809,1890,613,8,1027
8,5152,0,7893,732,3827,0,4039,4815,7228,10510,9951,8974,13610,0,1,1,8887,2811,1891,613,0,1027
8,4700,10,9503,2450,1018,6706,5598,4889,9270,15857,14681,13864,4058,2,1,1,2183,5584,15345,613,8,8042
8,5152,1,8049,294,4257,7351,4165,4923,10777,8922,14346,12554,18785,0,1,1,6353,4252,1889,613,5,1027
5,1440,10,824,1263,5258,4666,2390,2409,5214,4453,13346,12355,15410,0,1,1,3982,6013,13255,1868,2,6885
1,4424,0,4302,2308,7269,5551,5495,1761,6266,1134,8451,6922,3367,0,1,1,9975,1474,14562,5845,0,7531
0,1489,9,1313,1424,5892,2945,2957,3435,15778,1978,4153,3117,14358,0,0,0,10459,224,14561,4257,0,7531
2,1041,2,1473,239,6427,2854,2852,1090,438,7622,19253,13163,12078,0,1,1,630,6540,14559,4883,5,7531
6,2278,10,1468,1052,5198,1258,2986,2958,5324,10882,7058,18482,8039,0,1,0,3983,168,13253,5578,10,6885
4,249,4,496,963,7050,3244,2261,2188,7958,1287,10993,8772,18785,0,1,1,7250,2606,14560,4883,3,7531
1,4653,4,11938,2615,2503,3323,5571,1842,7191,2181,9541,6989,1252,2,0,0,6392,9427,14563,5779,2,7533
6,2002,2,2030,468,6595,7351,2840,3035,16051,13440,11294,18482,10656,0,1,1,8763,3666,15345,3007,8,8042
4,2461,1,1230,350,5471,5144,5598,4088,13158,15857,19253,4523,5349,0,1,1,3983,947,13256,1868,8,6885
2,2791,10,2789,804,3580,0,4751,4750,13475,4518,15232,13014,18264,0,1,1,1325,5210,14211,4753,0,7351
4,2466,8,3257,342,4704,3510,2390,4418,2110,6861,6538,5788,16228,0,1,1,5812,1251,14214,5845,0,7351
3,755,9,599,2919,6784,7351,3616,1727,827,2134,6573,6724,14001,0,1,1,5814,202,2990,4752,0,1542
5,2544,0,5513,4876,6011,7351,1690,3937,3499,5934,11312,9490,11977,0,1,1,2243,3203,14212,4753,4,7351
4,1126,10,2114,514,5358,601,2938,3149,226,12765,6882,7441,14994,0,1,1,5813,295,9485,4752,4,4894
0,2144,4,3257,4876,4194,4543,2749,1005,12543,11922,9127,18482,13166,0,1,1,10459,9427,14213,4753,9,7351
2,4018,0,6094,4876,4315,7351,4189,4923,15373,9043,19253,2693,18785,0,1,1,4417,296,14210,4753,9,7351
3,3866,7,6365,1171,3501,0,5598,4864,16051,15857,7084,4840,18785,1,0,0,8767,1189,14216,5356,3,7351
4,5152,10,2674,272,4614,980,5598,3352,645,12656,7985,7228,12190,0,1,1,10459,598,912,4752,2,520
1,1440,7,5024,274,4775,2875,1218,1258,12206,11101,6771,5435,18785,0,1,1,6865,1557,14215,4753,2,7351
8,1154,4,779,3465,1783,0,5135,2830,3215,15857,18148,17344,17749,0,1,1,8990,7759,4824,4490,2,2507
2,2345,2,4380,4234,2000,0,1666,2760,4892,14529,16514,15498,16851,0,1,1,10459,6600,7726,5417,0,4032
4,1812,10,1649,4790,3740,0,5598,3149,10634,9065,17230,16059,16345,0,1,1,8990,7219,4826,4490,4,2507
4,3102,3,11938,2956,3195,0,4956,3781,1227,14648,15868,14623,14866,0,1,1,10459,9427,7727,5417,0,4032
7,5152,1,5462,4876,1403,0,2777,3539,2501,8499,13251,12497,12436,0,1,1,8903,3721,15345,5845,5,8042
6,2345,1,2357,3457,7269,0,3659,2063,2660,11894,14438,13330,13889,0,1,1,8990,9427,4823,5845,3,2507
2,1494,10,1465,3713,6189,212,2804,3077,11568,15023,11590,18482,11283,0,0,0,8903,2941,7729,5845,10,4032
1,5152,7,2944,4793,3230,7351,2317,4923,15080,15857,1001,1047,10728,0,0,0,8903,9427,15345,3917,8,8042
9,4090,2,7672,4645,3092,262,1332,3663,3792,14790,5882,18482,9767,0,0,0,8903,1129,7728,5845,8,4032
5,3339,1,3875,2758,3621,4296,271,4818,16051,13126,7770,7021,18785,0,1,1,10459,1670,7730,5417,8,4032
9,4306,7,11432,4243,7269,864,162,4923,9565,4421,16197,15652,12202,0,0,1,4814,6486,15345,1045,8,8042
8,4353,1,10258,3628,7269,5615,5598,421,16051,7745,19060,18367,17658,2,1,1,9376,9288,3209,1029,4,1653
9,4129,8,11938,4151,1073,0,4069,3515,1542,12783,19253,14239,14594,2,1,1,7985,5886,7896,3710,8,4110
8,3947,2,6899,4544,4675,89,2523,3191,13417,9954,12364,13087,12630,2,1,1,543,3430,7898,2602,3,4112
6,5152,2,11938,391,1081,711,2093,3776,8488,2441,19253,10374,18785,2,0,1,4817,4608,3748,1229,5,1950
8,5152,10,11938,4138,1118,2721,4592,1149,10134,1099,5375,4544,10363,2,0,0,10459,301,14367,4023,10,7418
9,5152,10,11769,4380,3913,0,435,3619,4921,11196,12451,18482,9539,0,1,1,2082,3838,7895,2602,4,4110
6,4444,10,11938,3863,7269,0,5598,4923,16051,13224,4002,4087,11856,1,1,1,7264,9427,4986,1046,0,2617
9,5093,1,11087,3645,1465,3498,1937,4423,5525,8976,11210,10057,10283,2,1,1,1178,2474,7894,2602,10,4110
9,4772,1,11246,4422,1146,7351,4621,4476,13351,13145,16414,18482,3782,2,1,0,10459,5241,7897,4650,9,4111
0,2723,1,5549,4876,5945,0,3380,1487,887,10095,1978,1444,14977,2,0,0,2799,107,15345,2586,10,8042
4,5152,10,7242,268,7269,0,4039,3883,12602,13289,18124,15876,15265,0,1,1,838,7450,2627,5149,0,1361
4,5152,7,7654,254,3022,7351,2663,1370,11102,13142,18247,16124,14318,0,1,1,1739,7738,15345,5845,8,8042
6,4849,6,10057,968,3159,0,5598,4923,16051,8965,19253,14399,15188,0,1,1,2860,9427,2628,5149,8,1361
6,5040,0,11938,1903,1572,0,3765,4415,9484,6894,16501,14642,14129,0,1,1,2860,6873,2629,5149,2,1361
3,3295,10,6708,239,3612,0,3549,2738,12162,13506,16756,18482,11560,0,1,1,10459,6340,2633,5149,9,1361
4,5152,1,5420,342,1583,789,3310,2728,12019,13321,17319,14554,13906,0,1,1,1739,6623,2632,5149,8,1361
0,5152,0,1393,362,7269,189,1534,4923,5640,8099,11598,18482,9949,1,1,1,2902,0,2634,1205,3,1362
2,5152,10,5990,4876,2642,0,5598,3693,13309,12141,19253,11329,11375,0,1,1,6177,3346,2630,5149,10,1361
0,1561,1,11938,359,5124,0,2341,1346,4398,3560,19253,18482,7478,0,0,0,1739,3360,2631,5708,7,1361
4,3816,0,3704,817,4675,0,3011,4498,16051,1724,16493,14685,14908,0,1,1,290,6216,621,5845,6,384
5,4181,9,3150,769,7269,505,5598,4126,10856,14170,1025,999,18785,0,1,1,3642,7,625,3796,6,384
3,4450,4,7138,1009,3364,0,4462,4120,14337,15857,14641,12342,13269,0,1,1,3009,3830,626,5045,3,384
6,5152,10,5274,1000,4556,7351,3139,2859,16051,10552,19253,9628,12983,0,1,1,10459,9427,623,5045,3,384
6,4185,2,6932,703,3827,7351,5598,4662,9598,9405,14655,11750,15571,1,1,1,6838,4335,15345,5045,10,8042
5,3247,7,2818,4876,2181,1534,3895,4405,13070,3338,10280,7624,10699,0,1,1,2548,9427,15345,5845,5,8042
6,4129,7,5873,414,5331,1305,5598,3916,8658,13040,6016,5486,9889,0,1,1,3370,823,624,5045,0,384
7,3644,9,2884,615,4094,54,5598,3158,16051,10819,15002,12936,18785,0,1,1,10459,5375,622,5045,9,384
6,2832,0,3438,190,3374,0,5598,3953,3529,3138,1974,1718,18785,0,1,1,8794,6,5693,1674,3,3020
3,1206,2,3090,296,7269,7351,5598,1322,9655,15857,17556,15619,18785,1,1,1,6838,7785,627,5045,9,384
6,3600,5,10860,3050,4179,0,2902,4144,11742,12606,18113,16612,18096,0,1,1,9077,7787,15345,1152,9,8042
9,2753,10,11938,3603,3286,0,1104,2480,10042,11614,15599,15321,18785,0,1,1,10459,6790,3518,1152,4,1821
2,4889,1,11768,4702,2294,7351,5407,3469,14235,11447,19253,18482,17222,0,1,1,8357,9427,3524,1152,2,1821
8,5152,1,9611,4876,7269,3148,507,3876,2525,15857,13476,11114,16090,0,1,1,9077,9427,3521,1152,8,1821
9,4535,10,9923,4383,745,7351,5598,3582,5594,7114,19253,13303,15488,0,1,1,10459,9427,3519,1152,8,1821
8,4835,1,7896,2016,1137,5989,1896,3058,8247,10493,16046,14135,13106,0,1,1,2365,6130,3522,1152,5,1821
6,4359,9,11802,3982,2178,0,1209,3298,4836,7272,10240,10291,12351,0,1,1,232,9427,3517,1152,3,1821
9,1787,7,6803,4628,2090,0,1320,4742,16051,15857,17357,15503,14195,0,1,1,2365,7060,3523,1152,8,1821
3,2731,5,11938,1137,4039,0,990,4923,16051,12880,4235,2796,18785,0,0,0,8357,337,1659,5736,8,930
5,3987,9,6460,4876,5331,791,2390,4868,16051,3844,17308,14053,12526,0,1,1,330,5280,2059,651,10,1079
5,2655,7,11938,250,4252,0,4284,3398,16051,5265,2141,1677,8620,0,0,0,7556,62,15345,3884,9,8042
2,2271,6,2195,869,4970,0,2182,3716,16051,4871,5512,18482,9978,0,0,0,9450,311,2054,150,5,1079
1,2352,7,1787,268,3651,97,5598,3953,824,7963,6829,4695,9774,0,1,1,1456,337,2056,651,9,1079
4,2054,10,1495,522,2996,0,1693,3638,1244,4758,13060,7863,18785,0,0,0,4373,9427,15345,3797,3,8042
5,3928,2,7994,4876,2351,0,5598,4923,16051,8039,19253,1811,6429,0,0,0,7556,58,2055,5845,2,1079
0,2723,10,5549,808,5945,0,3380,1487,887,10095,19253,2793,18785,2,0,0,2799,109,907,2016,0,516
6,1738,8,1773,446,3740,1070,2902,4923,12186,15857,11948,9359,14365,0,0,0,10459,2694,898,2877,3,510
1,5152,6,2180,463,5161,7351,1081,1974,13258,6364,9683,7078,11984,0,0,0,6688,9427,894,5845,2,510
2,2403,6,2612,4876,5023,7351,2968,1902,12267,9135,19253,5353,14545,0,0,0,9171,394,900,284,4,511
5,2382,6,11938,749,5959,0,3380,4923,5485,11663,13451,9693,9541,0,1,1,7894,9427,896,285,0,510
4,5152,10,4096,216,5051,586,4611,3419,6648,15857,18153,14263,18785,0,1,1,5688,5948,897,5845,6,510
2,5152,8,1785,4876,5446,1265,2093,1458,10706,8846,14376,10178,7360,0,1,1,7539,3019,15345,5845,2,8042
5,925,10,3378,626,7269,0,5598,2048,3189,9291,12600,9789,9717,0,0,0,899,2489,899,2501,10,510
3,1130,10,1815,458,6602,0,2126,1174,16051,10289,12172,9558,6911,1,0,0,5166,2867,895,3697,3,510
0,1914,10,7203,4876,4707,0,3240,833,16051,11415,7909,7366,10050,0,0,0,5745,1757,901,4793,0,512
3,2113,8,4553,1437,5859,0,5001,4721,218,914,19253,4158,18268,0,0,1,10459,309,2013,868,6,1067
1,1780,5,5080,214,6379,7351,3765,2889,4686,3348,4006,5030,5007,0,0,0,2846,430,2010,5845,10,1067
6,1656,10,3761,4876,7269,0,3147,4519,9030,1017,3604,2734,18785,0,0,0,5659,229,2012,2283,3,1067
2,1036,10,3166,230,5739,0,5598,2738,3136,15857,4397,3613,4453,0,0,1,29,558,2009,4506,2,1067
3,878,10,2057,313,6872,2792,5598,1587,5248,2556,9870,9534,7177,0,0,0,1432,3391,2011,948,9,1067
7,1723,10,3291,4876,5080,0,4172,4709,8703,1947,2371,1641,2568,0,0,0,5659,9427,2014,49,8,1069
5,1508,10,3041,426,6149,86,1163,3485,11416,1100,999,943,18785,0,0,0,5659,3,2008,868,5,1068
5,3726,0,8158,4876,4601,0,2151,4012,2771,9107,17026,15581,16165,0,1,1,817,9427,1134,375,3,642
6,4347,4,11299,1804,4898,7351,3011,4583,16051,7249,13819,12243,12833,0,1,1,1725,4533,15345,375,9,8042
7,5152,4,5272,4876,3687,7351,3039,3134,5645,3953,14175,18482,11803,0,1,1,1846,4399,1132,375,3,642
6,3702,9,9571,3211,6177,0,3170,3903,2785,5633,19253,15581,10473,0,1,1,817,9427,1134,375,3,642
5,5152,7,6145,3592,7269,0,1346,4153,15548,6328,14620,13310,11089,0,1,1,8727,9427,9907,3289,8,5133
7,2410,2,7118,283,3970,262,5598,3949,2581,12045,14434,12606,18785,0,1,1,817,4855,1135,5845,4,642
3,2773,4,8164,4119,1246,392,5598,4923,13962,15857,14175,12901,7602,0,1,1,817,9427,1132,375,9,642
6,3532,10,11938,4876,6147,4719,2210,3863,2360,15857,6369,9285,18785,2,1,1,3126,3621,1133,375,0,642
6,2642,10,3854,4771,3170,0,2760,4418,1919,8161,7496,18482,5976,0,0,0,279,2629,9478,3092,0,4887
8,2827,1,3450,4129,5087,1743,4668,3863,4965,4853,1770,1794,2029,2,0,0,2893,38,3211,798,3,1655
0,2477,2,2390,986,6881,134,5598,3660,15971,1889,5783,4456,18124,0,0,0,8618,1005,951,5645,3,541
1,1696,0,1496,637,6719,0,3285,4923,13241,2248,4748,3119,12290,0,1,1,8618,247,15345,307,2,8042
0,840,6,1043,346,6853,1313,2487,1061,3987,15857,2075,18482,11981,0,0,1,5810,7,15345,1805,2,8042
3,5152,5,4166,1598,6288,0,1441,4453,6716,15857,3020,2039,10205,0,1,1,5657,102,952,307,3,541
0,758,8,700,587,6834,319,5598,4923,11062,1944,19253,939,5177,0,0,0,8618,3,954,1342,9,543
5,1811,0,3341,599,4521,337,5240,3118,9387,15857,4917,3499,10365,0,1,1,10459,425,953,307,8,542
0,2120,10,3306,418,5410,7351,4726,4923,1914,5104,4284,4105,6310,0,1,1,5295,9427,15345,3373,2,8042
0,948,7,1053,243,7269,29,567,2584,2820,2098,6326,4087,5175,0,0,1,5810,1108,950,2981,0,541
2,1265,0,2163,201,6402,0,1690,1471,4225,15857,1598,1237,2371,0,0,0,5657,48,955,5845,0,544
6,2271,10,11938,234,5624,7351,3580,1120,8463,7852,16963,13646,11338,0,1,1,5552,5564,6385,2149,3,3388
5,3339,7,5720,204,2564,0,3509,3847,11499,11381,17208,13983,11454,0,1,1,2725,5679,15345,2149,6,8042
5,2590,10,4667,718,7269,0,2688,2639,11730,15857,16220,18482,10546,0,1,1,10459,6699,15345,5845,8,8042
1,1026,4,11938,371,6463,0,2583,1648,12307,6530,2155,1770,18785,0,0,0,2725,50,6381,712,5,3385
5,3551,3,5517,362,7269,0,2126,3352,16051,14935,11459,8822,7798,0,1,1,9724,793,14260,5845,8,7370
5,2576,8,11938,212,7269,0,2464,2044,16051,6467,19253,18482,8527,0,1,1,8085,4660,6383,2149,0,3387
4,2636,6,8785,202,5580,0,2735,1920,5832,15857,16044,18482,6703,0,0,0,2734,4953,6384,2149,9,3387
4,1482,7,11938,285,7269,795,4694,434,6651,15857,19253,15162,7700,0,1,1,1695,7498,10999,313,3,5716
3,4948,4,10884,4876,5886,1240,5280,2928,14105,2635,10715,9409,7253,0,1,1,1855,2404,10104,5201,3,5222
2,4093,10,6726,2862,4321,0,5544,3191,14510,8138,10715,9409,5118,0,1,1,2265,2404,10104,5201,3,5222
4,3452,6,6561,4695,1449,0,4790,2029,16051,1192,13377,12211,14423,0,1,1,1293,4420,9216,3012,4,4775
9,2010,6,3300,4345,4764,3778,3011,1206,5286,5173,11620,10522,18785,0,1,1,10459,3939,9213,3012,4,4772
7,4069,4,7766,1594,3364,458,5598,4923,3873,14272,5652,7193,11104,0,1,1,9162,64,15345,5845,10,8042
8,4544,10,9194,4673,1980,0,4250,4457,16051,10704,11496,10662,9101,1,0,0,4085,2196,15345,4704,3,8042
4,5152,7,5086,4703,3628,0,2151,4035,15074,15857,5463,6256,9063,0,1,1,10459,1765,9212,3376,4,4772
4,2544,4,5316,4712,7269,0,5598,4586,4010,11426,9871,9346,6949,0,0,0,10459,1108,9214,5845,9,4772
7,4835,2,10749,4477,3941,7351,1974,4923,6670,9596,12132,10436,4987,0,0,0,9163,9427,9215,38,3,4774
8,4572,2,8179,4620,2004,42,4196,3723,3009,10330,11496,10662,5485,2,1,0,4085,2196,9211,5845,4,4773
3,4706,6,11938,4835,7269,0,4137,4120,15746,15857,11496,10662,4219,0,0,0,1293,2196,9211,4704,10,4773
0,4249,4,8543,1670,5994,1497,3923,2958,1072,14094,10260,7519,4853,0,1,1,3259,2148,12081,4061,9,6273
1,2237,5,6407,1144,6476,0,4032,1656,11550,11832,7815,6072,6278,0,1,1,10459,3214,12082,4061,9,6273
0,3578,1,11938,1298,5978,0,1837,2766,15388,11847,13641,11318,8559,0,1,1,7712,5469,15345,4061,10,8042
1,2583,10,6521,1202,5178,764,3316,4923,9728,15857,13313,11356,7794,0,1,1,10459,4960,12080,4061,3,6273
0,3452,7,7727,581,1794,755,5598,3362,7294,4967,9336,8097,18785,0,1,1,10459,3192,15345,4061,0,8042
5,4272,8,8910,4876,3195,2736,2714,4088,4548,15857,11631,10358,6464,0,1,1,10401,5575,12086,4061,2,6273
1,2964,0,4696,4876,4633,0,3835,1376,4486,13800,19253,8293,4184,0,1,1,10459,3007,12087,4061,10,6273
5,5152,2,11938,3823,7269,7351,4158,2912,8349,12621,13022,10666,7049,0,1,1,7712,9427,15345,4061,8,8042
