Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Views,Likes,Stream,Comments,Album_type,Licensed,official_video,Album,Title,Channel,Composer,Artist
1,2159,9,3168,357,4623,5420,4770,1905,1071,9364,8560,9081,13297,3448,1,1,1,5568,15345,3518,3,90
8,3492,12,3141,1298,4623,2726,3897,4529,8013,9934,1718,1549,12053,16,1,0,0,6788,10605,5845,4,96
6,1472,10,6986,932,5212,0,1924,2941,8650,1498,5660,14283,8294,2355,1,1,1,5570,10609,3518,9,12
5,4072,11,2821,527,2962,384,1760,4473,14143,6472,2732,3193,5965,653,1,1,1,6354,10607,5845,3,20
3,3530,4,5482,817,2201,0,168,4020,14220,8995,3268,2730,9533,139,1,0,0,9358,10611,5845,9,43
4,1633,4,2056,205,5060,2997,1760,4623,3683,2014,15120,14283,3992,64,1,1,1,5568,4366,5845,0,36
6,1287,9,1582,522,3703,4198,1224,4512,8930,8618,1070,1027,6338,1,1,1,1,7175,993,3517,5,32
6,413,11,704,2903,5929,1699,2936,2941,2862,8653,3335,3416,5539,109,1,1,1,10455,15345,3517,3,77
6,3553,7,5848,2903,2933,2291,2053,3865,9175,8653,11636,11373,17523,7090,1,0,0,1227,4187,4477,10,77
5,1876,0,1729,323,4588,2778,1646,2929,8844,12482,2897,1591,14435,95,1,0,0,6070,4188,3432,3,59
6,4289,7,6594,262,4623,715,4377,4783,10447,2550,5690,4092,16120,675,1,0,0,1980,3910,5845,8,36
5,3861,7,5848,289,2798,310,5064,3275,8650,10532,13394,11078,13972,3198,1,1,1,2860,4189,5845,9,95
3,4613,2,10008,2903,3016,694,2666,2941,11623,8521,11169,9168,13972,2636,1,1,1,6731,15345,1384,2,11
2,3193,11,8470,2903,2668,5048,3546,2120,1748,12463,2503,2365,11035,335,1,0,0,1227,8162,2657,3,82
4,3631,9,2608,264,1361,0,4418,2941,11648,13561,3496,3531,7756,715,1,0,0,10455,8161,2657,6,36
4,3553,0,5100,289,3510,5048,5106,2941,8823,13694,13462,9530,13999,3281,1,1,1,2860,5627,5310,0,11
7,4289,11,8731,391,3472,731,3889,3136,8508,13753,9206,6948,8785,1626,1,1,1,680,4186,1384,4,11
3,1247,0,2471,245,4034,0,2004,818,1454,3543,2244,14283,7533,332,1,0,0,3724,8160,2657,5,66
4,4321,11,5848,1692,713,4811,4449,2806,15051,5710,11953,13500,17344,5794,1,0,0,10455,12675,5845,2,50
7,3656,2,8506,626,697,1734,1474,2941,7197,8938,3278,2666,15782,176,1,0,0,4954,5624,5845,3,2
2,4167,7,8170,1610,1494,1648,1339,3136,8333,4623,6867,6118,14406,1393,1,0,1,10455,5623,4790,0,81
4,4700,12,11127,2903,724,967,1309,2702,5395,1090,5608,5143,11231,7090,1,0,1,4849,5626,5845,2,96
3,4245,1,8379,2518,4623,2917,382,3215,8650,12578,13362,10189,12112,4372,1,0,0,10455,5625,679,3,93
5,3899,7,9152,3256,4623,0,791,2230,8519,8653,15120,14283,10660,71,0,0,0,10455,1227,3014,5,37
5,3553,0,9009,1126,1685,460,356,4529,13157,9908,6520,5669,9492,646,1,1,1,9710,15345,5845,8,10
8,3553,7,3031,1078,4660,5608,1746,1382,10168,8653,2416,2021,9902,7090,1,0,0,4954,15345,5845,10,45
6,3553,7,8192,2903,1173,1538,1185,2297,7002,12020,6330,14283,13972,168,1,1,1,171,8041,1887,8,71
5,3553,6,9786,2903,2712,4040,453,2941,852,6398,6714,14283,7885,549,1,0,0,4849,5470,2873,3,96
1,482,8,5848,1171,6412,5048,2148,890,8598,8653,10132,11447,15420,4049,1,1,1,1644,15345,382,10,43
0,1199,6,656,968,6319,6798,1291,1083,579,10954,10469,11165,14303,7090,0,1,1,1565,12672,4181,9,90
2,626,4,423,2903,6447,4589,2004,2038,14779,10268,8383,7850,11870,7090,1,1,1,1644,12673,382,3,11
2,3553,7,444,377,6429,6039,2276,1553,2891,14203,10564,10110,13374,7090,1,1,1,1644,15345,382,3,73
1,3553,4,497,326,6354,7032,1602,1331,12129,1168,4127,4083,9953,26,0,1,1,1565,4869,4268,9,37
2,585,3,525,879,6448,5215,1846,2941,8650,13275,7960,6451,13509,956,1,1,1,1644,12674,5845,8,62
2,634,0,663,1375,6278,6870,2053,1826,12403,3091,4149,3425,12620,314,1,0,0,7753,12671,357,2,96
3,1961,9,3710,326,5054,0,3897,2380,9491,15157,15120,1576,11062,69,1,0,0,4293,4,154,10,3
3,3553,4,611,514,6463,7185,1302,1885,8650,1103,3983,4674,7303,508,1,0,0,8609,4868,5375,3,20
0,1896,12,3162,333,4623,3336,4859,1040,7309,8653,17478,15994,17156,8150,1,1,0,7021,15345,4407,0,1
9,1025,9,2103,2775,1267,2973,298,4181,7066,8994,14154,13634,16794,7090,1,1,1,6620,10928,3624,8,4
7,4793,11,9642,2903,1220,1019,4442,4564,9857,15055,14920,14406,15433,6508,1,1,1,10455,15345,5845,6,90
7,3381,2,1898,1144,3159,1992,3897,4759,8631,7897,13873,12449,15059,6159,1,1,1,786,10930,3624,0,77
0,4653,12,5848,3315,1368,3312,1816,1920,15897,13090,11500,10750,12416,4244,1,1,1,10455,10929,3624,0,37
2,3536,8,5848,1083,1356,407,3771,2941,8650,12254,7453,7580,2850,2306,1,1,1,8799,10933,5590,0,90
7,3553,2,3140,399,2329,1936,3027,3597,11389,4065,7510,6620,11066,2238,1,1,1,10455,10932,3624,0,11
8,2240,1,4476,1218,1633,5364,692,4115,7552,14986,15120,10497,10897,4642,1,1,1,6962,15345,3624,10,96
7,4605,8,11349,3189,757,1198,2949,3718,10179,4812,1531,1410,17497,55,0,0,1,7197,1892,3401,4,77
7,4018,6,6639,2903,3622,6915,2383,2941,9386,7181,14681,13864,15801,5584,1,1,1,8461,1888,613,5,43
6,3710,8,1906,1338,4545,2879,4432,4895,8650,8420,18347,17749,16260,8809,1,1,1,3149,1893,5845,10,96
7,4349,9,6507,699,2673,2647,4442,2941,7651,11979,16871,14283,13343,7090,1,1,1,6147,1894,5845,9,81
5,4413,0,7275,3108,2350,5525,2321,4452,8650,10515,15120,7629,14016,1662,1,1,0,8461,1895,900,8,82
5,4525,7,7173,691,3672,4181,3189,4884,9822,15039,1531,1410,11988,55,1,0,0,6147,1892,3401,2,57
7,3937,2,7831,3094,1559,5048,3813,4740,10310,12881,17808,16161,11705,7811,1,1,1,10455,1890,613,8,34
8,3553,0,7895,732,3232,0,3652,4817,7228,10512,9951,8974,13610,2811,1,1,1,8883,1891,613,0,3
8,4425,12,9505,2450,917,6631,3897,4891,9272,8653,14681,13864,4058,5584,0,1,1,2179,15345,613,8,90
8,3553,1,8051,294,3650,5048,3764,2941,10779,8923,14346,12554,13972,4252,1,1,1,6349,1889,613,5,73
5,1369,7,824,1263,4599,4589,2053,2409,5214,4453,13346,12355,15412,6013,1,1,1,3978,13255,1868,2,36
1,4188,0,4302,2308,4623,5475,5030,1761,6266,1134,8451,6922,3367,1474,1,1,1,9971,14562,5845,0,96
0,1417,11,1313,1424,5197,2869,2602,3437,15780,1978,4153,3117,14360,224,1,0,0,10455,14561,4257,0,34
2,990,2,1473,239,5700,2778,2506,1090,438,7622,15120,13163,12078,6540,1,1,1,626,14559,4883,5,11
6,2166,12,1468,1052,4545,1201,2630,2960,5324,10884,7058,14283,8039,168,1,1,0,3979,13253,5578,10,44
4,226,4,496,963,6280,3167,1924,2188,7959,1287,10993,8772,13972,2606,1,1,1,7246,14560,4883,3,96
1,4382,4,5848,2615,2027,3246,5101,1842,7191,2181,9541,6989,1252,7090,0,0,0,6388,14563,5779,2,11
6,1909,2,2030,468,5864,5048,2495,3037,8650,13442,11294,14283,10656,3666,1,1,1,8759,15345,3007,8,74
4,2349,1,1230,350,4805,5068,3897,4090,13160,8653,15120,4523,5349,947,1,1,1,3979,13256,1868,8,78
2,2660,7,2789,804,2992,0,4330,4752,13477,4518,15234,13014,18266,5210,1,1,1,1321,14211,4753,0,52
4,2354,10,3257,342,4071,3433,2053,4420,2110,6861,6538,5788,16230,1251,1,1,1,5808,14214,5845,0,59
3,717,11,599,2920,6036,5048,3241,1727,827,2134,6573,6724,14002,202,1,1,1,5810,2990,4752,0,96
5,2432,0,5514,2903,5316,5048,1405,3939,3499,5934,11312,9490,11977,3203,1,1,1,2239,14212,4753,4,79
4,1075,7,2114,514,4692,598,2584,3151,226,12767,6882,7441,14996,295,1,1,1,5809,9485,4752,4,46
0,2044,4,3257,2903,3590,4466,2407,1005,12545,11924,9127,14283,13166,7090,1,1,1,10455,14213,4753,9,88
2,3813,0,6096,2903,3703,5048,3788,2941,15375,9044,15120,2693,13972,296,1,1,1,4413,14210,4753,9,19
3,3676,9,6367,1171,2918,0,3897,4866,8650,8653,7084,4840,13972,1189,0,0,0,8763,14216,5356,3,50
4,3553,7,2674,272,3990,944,3897,3354,645,12658,7985,7228,12190,598,1,1,1,10455,912,4752,2,96
1,1369,9,5025,274,4138,2799,1010,1258,12208,11103,6771,5435,13972,1557,1,1,1,6861,14215,4753,2,95
8,1099,4,779,3467,1480,0,4696,2831,3215,8653,18150,17346,17751,7761,1,1,1,8986,4824,4490,2,37
2,2233,2,4380,4236,1627,0,1386,2761,4892,14531,16516,15500,16853,6600,1,1,1,10455,7726,5417,0,78
4,1726,12,1649,4792,3148,0,3897,3151,10636,9066,17232,16061,16347,7221,1,1,1,8986,4826,4490,4,96
4,2939,3,5848,2957,2629,0,4520,3783,1227,14650,15870,14625,14868,7090,1,1,1,10455,7727,5417,0,82
7,3553,1,5463,2903,1239,0,2435,3541,2501,8499,13251,12497,12436,3721,1,1,1,8899,15345,5845,5,84
6,2233,1,2357,3459,4623,0,3284,2063,2660,11896,14438,13330,13889,7090,1,1,1,8986,4823,5845,3,58
2,1422,12,1465,3715,5481,211,2462,3079,11570,15025,11590,14283,11283,2941,1,0,0,8899,7729,5845,10,95
1,3553,9,2944,4795,2660,5048,1980,2941,15082,8653,1001,1047,10728,7090,1,0,0,8899,15345,3917,8,96
9,3880,2,7674,4647,2533,260,1106,3665,3792,14792,5882,14283,9767,1129,1,0,0,8899,7728,5845,8,4
5,3175,1,3875,2758,3032,4219,242,4820,8650,13128,7770,7021,13972,1670,1,1,1,10455,7730,5417,8,11
9,4090,9,11434,4245,4623,840,153,2941,9567,4421,16199,15654,12202,6486,1,0,1,4810,15345,1045,8,96
8,4128,1,10260,3630,4623,5540,3897,421,8650,7745,19062,18369,17660,9290,0,1,1,9372,3209,1029,4,71
9,3918,10,5848,4153,964,0,3679,3517,1542,12785,15120,14240,14596,5886,0,1,1,7981,7896,3710,8,8
8,3753,2,6901,4546,4045,88,2182,3193,13419,9956,12364,13087,12630,3430,0,1,1,539,7898,2602,3,67
6,3553,2,5848,391,969,707,1760,3778,8489,2441,15120,10374,13972,4608,0,0,1,4813,3748,1229,5,71
8,3553,12,5848,4140,1003,2645,4172,1149,10136,1099,5375,4544,10363,301,0,0,0,10455,14367,4023,10,77
9,3553,12,11771,4382,3318,0,379,3621,4921,11198,12451,14283,9539,3838,1,1,1,2078,7895,2602,4,96
6,4204,7,5848,3865,4623,0,3897,2941,8650,13226,4002,4087,11856,7090,0,1,1,7260,4986,1046,0,96
9,4757,1,11089,3647,1279,3421,1613,4425,5525,8977,11210,10057,10283,2474,0,1,1,1174,7894,2602,10,71
9,4495,1,11248,4424,1028,5048,4200,4478,13353,13147,16416,14283,3782,5241,0,1,0,10455,7897,4650,9,96
0,2602,1,5550,2903,5250,0,3013,1487,887,10097,1978,1444,14979,107,0,0,0,2795,15345,2586,10,72
4,3553,7,7244,268,4623,0,3652,3885,12604,13291,18126,15878,15267,7452,1,1,1,834,2627,5149,0,90
4,3553,9,7656,254,2473,5048,2321,1370,11104,13144,18249,16126,14320,7740,1,1,1,1735,15345,5845,8,30
6,4563,8,10059,968,2594,0,3897,2941,8650,8966,15120,14401,15190,7090,1,1,1,2856,2628,5149,8,13
6,4715,0,5848,1903,1357,0,3382,4417,9486,6894,16503,14644,14131,6873,1,1,1,2856,2629,5149,2,65
3,3131,12,6710,239,3023,0,3174,2739,12164,13508,16758,14283,11560,6340,1,1,1,10455,2633,5149,9,32
4,3553,1,5421,342,1365,778,2943,2729,12021,13323,17321,14556,13906,6623,1,1,1,1735,2632,5149,8,41
0,3553,0,1393,362,4623,188,1277,2941,5640,8099,11598,14283,9949,0,0,1,1,2898,2634,1205,3,77
2,3553,7,5992,2903,2144,0,3897,3695,13311,12143,15120,11329,11375,3346,1,1,1,6173,2630,5149,10,71
0,1485,1,5848,359,4473,0,2004,1346,4398,3560,15120,14283,7478,3360,1,0,0,1735,2631,5708,7,55
4,3631,0,3704,817,4045,0,2655,4500,8650,1724,16495,14687,14910,6216,1,1,1,286,621,5845,6,96
5,3970,11,3150,769,4623,503,3897,4128,10858,14172,1025,999,13972,7,1,1,1,3638,625,3796,6,96
3,4209,4,7140,1009,2785,0,4054,4122,14339,8653,14641,12342,13269,3830,1,1,1,3005,626,5045,3,96
6,3553,12,5275,1000,3937,5048,2780,2860,8650,10554,15120,9628,12983,7090,1,1,1,10455,623,5045,3,27
6,3974,2,6934,703,3232,5048,3897,4664,9600,9406,14655,11750,15573,4335,0,1,1,6834,15345,5045,10,78
5,3083,9,2818,2903,1766,1459,3512,4407,13072,3338,10280,7624,10699,7090,1,1,1,2544,15345,5845,5,73
6,3918,9,5875,414,4665,1244,3897,3918,8660,13042,6016,5486,9889,823,1,1,1,3366,624,5045,0,73
7,3479,11,2884,615,3490,53,3897,3160,8650,10821,15002,12936,13972,5375,1,1,1,10455,622,5045,9,10
6,2695,0,3438,190,2794,0,3897,3955,3529,3138,1974,1718,13972,6,1,1,1,8790,5693,1674,3,77
3,1144,2,3090,296,4623,5048,3897,1322,9657,8653,17558,15621,13972,7787,0,1,1,6834,627,5045,9,59
6,3437,6,10862,3052,3575,0,2551,4146,11744,12608,18115,16614,18098,7789,1,1,1,9073,15345,1152,9,88
9,2628,12,5848,3605,2716,0,918,2480,10044,11616,15601,15323,13972,6790,1,1,1,10455,3518,1152,4,81
2,4598,1,11770,4704,1855,5048,4946,3471,14237,11449,15120,14283,17224,7090,1,1,1,8353,3524,1152,2,3
8,3553,1,9613,2903,4623,3072,441,3878,2525,8653,13476,11114,16092,7090,1,1,1,9073,3521,1152,8,17
9,4281,7,9925,4385,688,5048,3897,3584,5594,7114,15120,13303,15490,7090,1,1,1,10455,3519,1152,8,13
8,4551,1,7898,2016,1020,5914,1578,3060,8248,10495,16048,14136,13106,6130,1,1,1,2361,3522,1152,5,3
6,4133,11,11804,3984,1764,0,1003,3300,4836,7272,10240,10291,12351,7090,1,1,1,229,3517,1152,3,79
9,1705,9,6805,4630,1696,0,1096,4744,8650,8653,17359,15505,14197,7060,1,1,1,2361,3523,1152,8,67
3,2609,6,5848,1137,3435,0,830,2941,8650,12882,4235,2796,13972,337,1,0,0,8353,1659,5736,8,45
5,3787,11,6462,2903,4665,779,2053,4870,8650,3844,17310,14054,12526,5280,1,1,1,326,2059,651,10,13
5,2543,9,5848,250,3646,0,3880,3400,8650,5265,2141,1677,8620,62,1,0,0,7552,15345,3884,9,50
2,2159,8,2195,869,4325,0,1846,3718,8650,4871,5512,14283,9978,311,1,0,0,9446,2054,150,5,59
1,2240,9,1787,268,3062,96,3897,3955,824,7963,6829,4695,9774,337,1,1,1,1452,2056,651,9,17
4,1961,7,1495,522,2450,0,1408,3640,1244,4758,13060,7863,13972,7090,1,0,0,4369,15345,3797,3,63
5,3734,2,7996,2903,1898,0,3897,2941,8650,8039,15120,1811,6429,58,1,0,0,7552,2055,5845,2,78
0,2602,7,5550,808,5250,0,3013,1487,887,10097,15120,2793,13972,109,0,0,0,2795,907,2016,0,10
6,1660,10,1773,446,3148,1024,2551,2941,12188,8653,11948,9359,14367,2694,1,0,0,10455,898,2877,3,18
1,3553,8,2180,463,4510,5048,901,1974,13260,6364,9683,7078,11984,7090,1,0,0,6684,894,5845,2,33
2,2291,8,2612,2903,4374,5048,2612,1902,12269,9136,15120,5353,14547,394,1,0,0,9167,900,284,4,24
5,2270,8,5848,749,5264,0,3013,2941,5485,11665,13451,9693,9541,7090,1,1,1,7890,896,285,0,63
4,3553,7,4096,216,4401,583,4190,3421,6648,8653,18155,14264,13972,5948,1,1,1,5684,897,5845,6,67
2,3553,10,1785,2903,4780,1208,1760,1458,10708,8847,14376,10178,7360,3019,1,1,1,7535,15345,5845,2,73
5,882,7,3378,626,4623,0,3897,2048,3189,9292,12600,9789,9717,2489,1,0,0,895,899,2501,10,10
3,1078,7,1815,458,5870,0,1792,1174,8650,10291,12172,9558,6911,2867,0,0,0,5162,895,3697,3,77
0,1822,7,7205,2903,4073,0,2874,833,8650,11417,7909,7366,10050,1757,1,0,0,5741,901,4793,0,11
3,2017,10,4553,1437,5166,0,4564,4723,218,914,15120,4158,18270,309,1,0,1,10455,2013,868,6,17
1,1699,6,5081,214,5653,5048,3382,2890,4686,3348,4006,5030,5007,430,1,0,0,2842,2010,5845,10,96
6,1580,7,3761,2903,4623,0,2787,4521,9032,1017,3604,2734,13972,229,1,0,0,5655,2012,2283,3,73
2,985,7,3166,230,5060,0,3897,2739,3136,8653,4397,3613,4453,558,1,0,1,28,2009,4506,2,3
3,835,12,2057,313,6117,2716,3897,1587,5248,2556,9870,9534,7177,3391,1,0,0,1428,2011,948,9,66
7,1647,7,3291,2903,4429,0,3771,4711,8705,1947,2371,1641,2568,7090,1,0,0,5655,2014,49,8,14
5,1435,7,3041,426,5447,85,965,3487,11418,1100,999,943,13972,3,1,0,0,5655,2008,868,5,81
5,3551,0,8160,2903,3979,0,1816,4014,2771,9108,17028,15583,16167,7090,1,1,1,813,1134,375,3,96
6,4124,4,11301,1804,4260,5048,2655,4585,8650,7249,13819,12243,12833,4533,1,1,1,1721,15345,375,9,51
7,3553,4,5273,2903,3098,5048,2683,3136,5645,3953,14175,14283,11803,4399,1,1,1,1842,1132,375,3,51
6,3530,11,9573,3213,5471,0,2808,3905,2785,5633,15120,15583,10473,7090,1,1,1,813,1134,375,3,56
5,3553,9,6147,3594,4623,0,1118,4155,15550,6328,14620,13310,11089,7090,1,1,1,8723,9907,3289,8,2
7,2298,2,7120,283,3369,260,3897,3951,2581,12047,14434,12606,13972,4855,1,1,1,813,1135,5845,4,79
3,2645,4,8166,4121,1109,390,3897,2941,13964,8653,14175,12901,7602,7090,1,1,1,813,1132,375,9,51
6,3369,7,5848,2903,5445,4642,1873,3865,2360,8653,6369,9285,13972,3621,0,1,1,3122,1133,375,0,76
6,2530,7,3854,4773,2605,0,2418,4420,1919,8161,7496,14283,5976,2629,1,0,0,275,9478,3092,0,77
8,2691,1,3450,4131,4436,1668,4247,3865,4965,4853,1770,1794,2029,38,0,0,0,2889,3211,798,3,14
0,2365,2,2390,986,6125,133,3897,3662,15973,1889,5783,4456,18126,1005,1,0,0,8614,951,5645,3,78
1,1620,0,1496,637,5977,0,2918,2941,13243,2248,4748,3119,12290,247,1,1,1,8614,15345,307,2,73
0,799,8,1043,346,6098,1252,2148,1061,3987,8653,2075,14283,11981,7,1,0,1,5806,15345,1805,2,96
3,3553,6,4166,1598,5574,0,1196,4455,6716,8653,3020,2039,10205,102,1,1,1,5653,952,307,3,32
0,720,10,700,587,6081,317,3897,2941,11064,1944,15120,939,5177,3,1,0,0,8614,954,1342,9,59
5,1725,0,3341,599,3902,335,4788,3120,9389,8653,4917,3499,10365,425,1,1,1,10455,953,307,8,82
0,2023,7,3306,418,4744,5048,4305,2941,1914,5104,4284,4105,6310,7090,1,1,1,5291,15345,3373,2,25
0,901,9,1053,243,4623,28,487,2584,2820,2098,6326,4087,5175,1108,1,0,1,5806,950,2981,0,71
2,1199,0,2163,201,5675,0,1405,1471,4225,8653,1598,1237,2371,48,1,0,0,5653,955,5845,0,32
6,2159,7,5848,234,4959,5048,3205,1120,8464,7852,16965,13646,11338,5564,1,1,1,5548,6385,2149,3,1
5,3175,9,5721,204,2080,0,3134,3849,11501,11383,17210,13983,11454,5679,1,1,1,2721,15345,2149,6,96
5,2478,7,4667,718,4623,0,2346,2639,11732,8653,16222,14283,10546,6699,1,1,1,10455,15345,5845,8,77
1,975,4,5848,371,5736,0,2241,1648,12309,6530,2155,1770,13972,50,1,0,0,2721,6381,712,5,30
5,3388,3,5518,362,4623,0,1792,3354,8650,14937,11459,8822,7798,793,1,1,1,9720,14260,5845,8,96
5,2464,10,5848,212,4623,0,2126,2044,8650,6467,15120,14283,8527,4660,1,1,1,8081,6383,2149,0,90
4,2524,8,8787,202,4915,0,2393,1920,5832,8653,16046,14283,6703,4953,1,0,0,2730,6384,2149,9,95
4,1410,9,5848,285,4623,782,4273,434,6651,8653,15120,15164,7700,7500,1,1,1,1691,10999,313,3,73
3,4648,4,10886,2903,5191,1183,4828,2929,14107,2635,10715,9409,7253,2404,1,1,1,1851,10104,5201,3,34
2,3883,7,6728,2862,3709,0,5075,3193,14512,8138,10715,9409,5118,2404,1,1,1,2261,10104,5201,3,50
4,3289,8,6563,4697,1269,0,4366,2029,8650,1192,13377,12211,14425,4420,1,1,1,1289,9216,3012,4,78
9,1917,8,3300,4347,4127,3701,2655,1206,5286,5173,11620,10522,13972,3939,1,1,1,10455,9213,3012,4,84
7,3861,4,7768,1594,2785,456,3897,2941,3873,14274,5652,7193,11104,64,1,1,1,9158,15345,5845,10,34
8,4289,12,9196,4675,1614,0,3846,4459,8650,10706,11496,10662,9101,2196,0,0,0,4081,15345,4704,3,77
4,3553,9,5087,4705,3039,0,1816,4037,15076,8653,5463,6256,9063,1765,1,1,1,10455,9212,3376,4,14
4,2432,4,5317,4714,4623,0,3897,4588,4010,11428,9871,9346,6949,1108,1,0,0,10455,9214,5845,9,96
7,4551,2,10751,4479,3344,5048,1646,2941,6670,9598,12132,10436,4987,7090,1,0,0,9159,9215,38,3,71
8,4313,2,8181,4622,1630,41,3794,3725,3009,10332,11496,10662,5485,2196,0,1,0,4081,9211,5845,4,67
3,4431,8,5848,4837,4623,0,3739,4122,15748,8653,11496,10662,4219,2196,1,0,0,1289,9211,4704,10,82
0,4038,4,8545,1670,5299,1422,3540,2960,1072,14096,10260,7519,4853,2148,1,1,1,3255,12081,4061,9,59
1,2128,6,6409,1144,5749,0,3646,1656,11552,11834,7815,6072,6278,3214,1,1,1,10455,12082,4061,9,81
0,3415,1,5848,1298,5283,0,1530,2767,15390,11849,13641,11318,8559,5469,1,1,1,7708,15345,4061,10,28
1,2471,12,6523,1202,4527,754,2949,2941,9730,8653,13313,11356,7794,4960,1,1,1,10455,12080,4061,3,95
0,3289,9,7729,581,1488,746,3897,3364,7294,4967,9336,8097,13972,3192,1,1,1,10455,15345,4061,0,25
5,4060,10,8912,2903,2629,2660,2372,4090,4548,8653,11631,10358,6464,5575,1,1,1,10397,12086,4061,2,3
1,2814,0,4696,2903,4006,0,3452,1376,4486,13802,15120,8293,4184,3007,1,1,1,10455,12087,4061,10,88
5,3553,2,5848,3825,4623,5048,3757,2913,8350,12623,13022,10666,7049,7090,1,1,1,7708,15345,4061,8,34
6,4102,6,7558,1840,4623,175,2216,4621,4081,9942,10596,8401,7960,1834,1,1,1,1037,12084,4061,3,10
5,2400,9,3911,342,4830,570,2576,3951,10025,8637,9267,6772,4471,7090,1,1,1,10455,12083,4061,9,54
3,2227,11,5848,1428,4014,0,3897,2256,2887,8902,12283,13168,4381,7090,0,1,1,9571,15345,159,0,90
